1 CM,,,,
,T1,T2,T3,T4
Posture 1,2.5932,1.4933,1.0331,0.3152
Posture 2,0.4395,0.3682,0.4625,1.4128
Posture 3,0,0.6788,0.1427,1.6314
Tendon 1,0.8145,0,0,-0.3359
Tendon 2,-0.0023,1.3185,0,-0.0023
Tendon 3,0,0,0.4832,0
Tendon 4,-0.0989,0,0,1.9719
Rest,0,0,0,0
1.5 CM,,,,
,T1,T2,T3,T4
Posture 1,2.9844,1.2241,1.1528,0.2738
Posture 2,0.4004,0.3221,0.474,1.3438
Posture 3,-0.0138,0.6121,0.0828,1.8385
Tendon 1,0.8376,0,0,-0.3682
Tendon 2,0,1.1321,0,-0.0092
Tendon 3,0,0,0.497,0
Tendon 4,-0.3958,-0.0023,0,2.2089
Rest,0,0,0,0
2 CM,,,,
,T1,T2,T3,T4
Posture 1,2.6875,0.9135,0.8307,0.1104
Posture 2,0.5983,0.1795,0.3474,1.1137
Posture 3,-0.0207,0.4648,0,1.4772
Tendon 1,1.0769,0,0,-0.3797
Tendon 2,0,1.0101,0,0
Tendon 3,0,0,0.5706,0
Tendon 4,-0.3451,0,0,1.6222
Rest,0,0,0,0
2.5 CM,,,,
,T1,T2,T3,T4
Posture 1,1.9926,0.9158,0.6443,0.1864
Posture 2,0.428,0.283,0.3382,1.0308
Posture 3,-0.0092,0.497,0.0184,1.728
Tendon 1,0.6857,0,0,-0.3106
Tendon 2,0,1.07,0,-0.023
Tendon 3,0,0,0.4257,-0.0023
Tendon 4,-0.3843,0,0,2.0548
Rest,0,0,0,0
3 CM,,,,
,T1,T2,T3,T4
Posture 1,1.7879,0.8629,0.7363,0.2186
Posture 2,0.4142,0.3198,0.4487,1.2793
Posture 3,-0.0644,0.497,0.0851,1.9765
Tendon 1,0.711,-0.0046,0,-0.3359
Tendon 2,0,0.9089,0,0
Tendon 3,0,0,0.4556,0
Tendon 4,0,0,0,2.3286
Rest,0,0,0,0
3.5 CM,,,,
,T1,T2,T3,T4
Posture 1,1.8385,0.8813,0.3313,0.0299
Posture 2,0.4556,0.2462,0.2071,1.0377
Posture 3,-0.0805,0.4809,0,1.514
Tendon 1,0.6903,0,0,-0.2853
Tendon 2,0,1.099,0,-0.0046
Tendon 3,0,0,0.3313,-0.0023
Tendon 4,-0.5706,0,0,1.781
Rest,0,0,0,0
4 CM,,,,
,T1,T2,T3,T4
Posture 1,0.9206,0.6098,0.2784,0.2692
Posture 2,0.3866,0.1818,0.1496,0.6719
Posture 3,0,0.3359,0,1.0124
Tendon 1,0.4188,0,0,0
Tendon 2,0,0.78,0,0
Tendon 3,0,0,0.3451,0
Tendon 4,-0.0989,0,-0.0092,1.1114
Rest,0,0,0,0
Hard Finger,,,,
,T1,T2,T3,T4
Posture 1,0,0,0,0
Posture 2,1.0953,0.8191,1.7994,0.474
Posture 3,0.4165,0.6742,0.4602,0.7087
Tendon 1,0,0,0,0
Tendon 2,1.1942,-0.1404,0.0046,-0.0621
Tendon 3,0,0,0,0
Tendon 4,-0.5568,1.353,0.306,0.214
Rest,0,0,0,0